review-item-author,review-item-date,review-item-content
gborow,"Mar 20, 2019",We bought the camera with the accessories package for an additional $50.  Iâ€™d recommend just getting the camera alone.
arnk2u,"Apr 03, 2019",Great pic and easy to use
josephlg,"Apr 24, 2019",so far so good
johnmadsen62,"Oct 24, 2018",I wish it had a view finder.
2012cstamper,"Mar 22, 2017",Awesome camera with unbelievable quality.
blacksoxx,"May 25, 2024",Quick ship and great camera
rebaumgardner5xn3,"Feb 17, 2020",More options than I need  but a great camera.
buysol101,"Jan 21, 2020",Great product
felicia7792,"Feb 12, 2023",Just as expected
wggavin,"Dec 17, 2016","Easy to use, has a great zoom and takes nice pictures."
joeloramoscalderon,"Apr 26, 2017",
daughter_4693,"Mar 09, 2021",It's literally LIKE NEW.
youngw-99,"Jan 25, 2022",
klawsf3nrj,"Feb 02, 2017",I bought this as an upgrade to my SX260.  Am happy with it.
jbell63,"Dec 22, 2020",Great product
extremeslayz,"Dec 25, 2024",Came as described really appreciate it
yehudsharfe0,"May 10, 2024",â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸ - Thank You ðŸ™ðŸ» Everything Great!.
wavychrishdd,"May 19, 2019",
badge_works,"Jun 04, 2024",Camera was packaged great and everything works amazingly
ashleylscott,"Sep 25, 2024",works amazing! everything works as described
mp390930,"Jan 05, 2017",
MG5q4IpBRdK@Del...,"Nov 12, 2019",GREAT
jebus-21,"Jul 11, 2019",Buena cÃ¡mara para ser tan compacta.
gato-do-mato,"Nov 03, 2016",It's a wonderful machine!
josfra-2630,"Jan 14, 2021",Great camera!!
shtho_7962,"Feb 05, 2019",very good. I like it . good pic.
ecb_um4-rge@del...,"Jan 02, 2019",this was a gift.  no idea how it works
darrellev,"Aug 25, 2020",ok
katechampion51,"Aug 23, 2021","Love everything about these. Great sound, comfortable, and easy to use. It’s worth it to pay a little more to get quality headphones."
doctor3145,"May 18, 2021",I use these while working in as machine shop. They do an excellent Job reducing the ambient noise. Good battery life an great features. You will not be disappointed. Great job Sony. High Five.
husamia,"Jan 05, 2021",the sound is great. it's lightweight. Its sturdy and easy to use. The app is super powerful features. The noise cancelling works great. I use it for conference calls and easy listening.
tigerfan62_2013,"Jul 22, 2022","Noise cancelling feature is unbelievable, even sitting next to the tv I can listen to music & not hear the tv. I was amazed. They are a little trouble to set up, you have to download an app and all but it’s worth it. I don’t know what they advertise the battery life is, but I listen for a couple of hours every night and haven’t charged them yet. I’m guessing at around 9 hours without a charge."
